beginTime,Temp,TempType
42756.00,51.1,F
42756.04,8.9,C
42756.08,48.9,F
42756.13,10,C
42756.17,50,F
42756.21,10,C
42756.25,10,C
42756.29,48.9,F
42756.33,50,F
42756.38,11.1,C
42756.42,52,F
42756.46,53.1,F
42756.50,54,F
42756.54,57,F
42756.58,55,F
42756.63,12.8,C
42756.67,55,F
42756.71,11.1,C
42756.75,10,C
42756.79,48,F
42756.83,44.6,F
42756.88,6.7,C
42756.92,42.1,F
42756.96,5,C
42757.00,39.9,F
42757.04,39.9,F
42757.08,4.4,C
42757.13,37.9,F
42757.17,4.4,C
42757.21,5,C
42757.25,5,C
42757.29,3.9,C
42757.33,6.1,C
42757.38,46.9,F
42757.42,11.1,C
42757.46,12.2,C
42757.50,13.9,C
42757.54,59,F
42757.58,16.1,C
42757.63,17.8,C
42757.67,63,F
42757.71,16.1,C
42757.75,57,F
42757.79,54,F
42757.83,51.1,F
42757.88,48.9,F
42757.92,8.9,C
42757.96,8.3,C
42758.00,46.9,F
42758.04,46.9,F
42758.08,7.2,C
42758.13,46.9,F
42758.17,8.9,C
42758.21,48.9,F
42758.25,10.6,C
42758.29,10.6,C
42758.33,13.9,C
42758.38,61,F
42758.42,18.3,C
42758.46,64.9,F
42758.50,66,F
42758.54,68,F
42758.58,68,F
42758.63,66.9,F
42758.67,17.2,C
42758.71,16.1,C
42758.75,59,F
42758.79,57,F
42758.83,55,F
42758.88,11.7,C
42758.92,48.9,F
42758.96,46,F
42759.00,7.2,C
42759.04,45,F
42759.08,45,F
42759.13,7.2,C
42759.17,42.1,F
42759.21,42.1,F
42759.25,5,C
42759.29,39.9,F
42759.33,6.7,C
42759.38,7.8,C
42759.42,8.9,C
42759.46,50,F
42759.50,10,C
42759.54,51.1,F
42759.58,12.2,C
42759.63,53.1,F
42759.67,51.8,F
42759.71,9.4,C
42759.75,46.9,F
42759.79,7.2,C
42759.83,44.1,F
42759.88,42.1,F
42759.92,41,F
42759.96,4.4,C
42760.00,37.9,F
42760.04,37,F
42760.08,1.7,C
42760.13,34,F
42760.17,1.1,C
42760.21,0,C
42760.25,0,C
42760.29,33.1,F
42760.33,36,F
42760.38,41,F
42760.42,46.9,F
42760.46,48.9,F
42760.50,10,C
42760.54,51.1,F
42760.58,11.1,C
42760.63,11.1,C
42760.67,51.1,F
42760.71,9.4,C
42760.75,8.3,C
42760.79,7.2,C
42760.83,44.1,F
42760.88,4.4,C
42760.92,3.3,C
42760.96,36,F
42761.00,35.1,F
42761.04,33.1,F
42761.08,0.6,C
42761.13,32,F
42761.17,30.9,F
42761.21,-0.6,C
42761.25,30.9,F
42761.29,-0.6,C
42761.33,35.1,F
42761.38,4.4,C
42761.42,7.8,C
42761.46,50,F
42761.50,10.6,C
42761.54,53.1,F
42761.58,12.8,C
42761.63,55.9,F
42761.67,54,F
42761.71,10.6,C
42761.75,48.9,F
42761.79,46.9,F
42761.83,5.6,C
42761.88,41,F
42761.92,4.4,C
42761.96,39,F
42762.00,3.3,C
42762.04,2.2,C
42762.08,36,F
42762.13,35.1,F
42762.17,33.1,F
42762.21,0,C
42762.25,-0.6,C
42762.29,30,F
42762.33,2.2,C
42762.38,39.9,F
42762.42,45,F
42762.46,9.4,C
42762.50,51.1,F
42762.54,53.1,F
42762.58,12.8,C
42762.63,55,F
42762.67,12.8,C
42762.71,11.7,C
42762.75,50,F
42762.79,9.4,C
42762.83,6.7,C
42762.88,7.2,C
42762.92,6.1,C
42762.96,44.1,F
