beginTime,Temp,TempType
42743,9.4,C
42743,9.4,C
42743.04,8.9,C
42743.04,8.9,C
42743.08,8.3,C
42743.08,46.9,F
42743.13,51.1,F
42743.13,51.1,F
42743.17,51.1,F
42743.17,51.1,F
42743.21,48,F
42743.21,48,F
42743.25,9.4,C
42743.25,9.4,C
42743.29,11.1,C
42743.29,52,F
42743.33,55.9,F
42743.33,55.9,F
42743.38,16.1,C
42743.38,61,F
42743.42,19.4,C
42743.42,19.4,C
42743.46,21.1,C
42743.46,70,F
42743.5,23.3,C
42743.5,73.9,F
42743.54,24.4,C
42743.54,24.4,C
42743.58,26.7,C
42743.58,26.7,C
42743.63,26.7,C
42743.63,26.7,C
42743.67,26.1,C
42743.67,79,F
42743.71,73.9,F
42743.71,23.3,C
42743.75,69.1,F
42743.75,20.6,C
42743.79,17.8,C
42743.79,17.8,C
42743.83,15,C
42743.83,59,F
42743.88,13.3,C
42743.88,55.9,F
42743.92,12.8,C
42743.92,12.8,C
42743.96,57,F
42743.96,13.9,C
42744,13.9,C
42744.04,12.8,C
42744.08,13.3,C
42744.13,12.8,C
42744.17,13.3,C
42744.21,53.1,F
42744.25,12.2,C
42744.29,12.8,C
42744.33,15.6,C
42744.38,63,F
42744.42,18.9,C
42744.46,66.9,F
42744.5,72,F
42744.54,25,C
42744.58,73.9,F
42744.63,72,F
42744.67,69.1,F
42744.71,68,F
42744.75,64.9,F
42744.79,16.7,C
42744.83,15.6,C
42744.88,13.9,C
42744.92,13.3,C
42744.96,51.1,F
42745,52,F
42745.04,50,F
42745.08,48.9,F
42745.13,8.9,C
42745.17,8.9,C
42745.21,8.3,C
42745.25,46.9,F
42745.29,8.3,C
42745.33,51.1,F
42745.38,14.4,C
42745.42,63,F
42745.46,66.9,F
42745.5,68,F
42745.54,69.1,F
42745.58,70,F
42745.63,21.7,C
42745.67,20.6,C
42745.71,18.9,C
42745.75,62.1,F
42745.79,14.4,C
42745.83,54,F
42745.88,53.1,F
42745.92,11.1,C
42745.96,10.6,C
42746,50,F
42746.04,48,F
42746.08,48,F
42746.13,46,F
42746.17,46.9,F
42746.21,7.2,C
42746.25,7.2,C
42746.29,7.2,C
42746.33,50,F
42746.38,12.8,C
42746.42,61,F
42746.46,66,F
42746.5,19.4,C
42746.54,69.1,F
42746.58,70,F
42746.63,21.1,C
42746.67,66.9,F
42746.71,18.3,C
42746.75,61,F
42746.79,57.9,F
42746.83,53.1,F
42746.88,10,C
42746.92,9.4,C
42746.96,7.8,C
42747,7.8,C
42747.04,7.2,C
42747.08,44.1,F
42747.13,43,F
42747.17,42.1,F
42747.21,6.1,C
42747.25,6.7,C
42747.29,6.1,C
42747.33,8.9,C
42747.38,11.7,C
42747.42,13.9,C
42747.46,64.9,F
42747.5,66.9,F
42747.54,21.1,C
42747.58,71.1,F
42747.63,72,F
42747.67,72,F
42747.71,19.4,C
42747.75,16.7,C
42747.79,63,F
42747.83,57.9,F
42747.92,48.9,F
42747.96,48,F
42748,45,F
42748.04,43,F
42748.08,43,F
42748.13,43,F
42748.17,46,F
42748.21,44.1,F
42748.25,43,F
42748.29,6.7,C
42748.33,10,C
42748.38,54,F
42748.42,61,F
42748.46,17.2,C
42748.5,20,C
42748.54,69.1,F
42748.58,20,C
42748.63,18.9,C
42748.67,64.9,F
42748.71,61,F
42748.75,60.1,F
42748.79,57.9,F
42748.83,57,F
42748.88,13.3,C
42748.92,55,F
42748.96,55,F
